ArtistName,SourceId,ExpectedMbid,ChosenMbid,Decision,Correct,Confidence,Margin,ApiCalls,ElapsedMs,Error
dave Allen,23cc18d3af364a85a9db58fbb9b40227,71446105-9bae-48f2-ac3f-233dcc1a5e1f,505bf65d-3ec3-40d3-a7e9-3e17025f3e96,needs_review,False,0.5000,0.0000,121,11209,
Dave Appell,f8418c304a0c4a3589a36b0dfca6bf33,c4219188-8052-45e2-887e-8cc7d53d432c,c4219188-8052-45e2-887e-8cc7d53d432c,needs_review,True,0.9707,3.5000,5,721,
Dave Audé,93e04e0f89d74578909d5608e21e30b4,f8d03e4c-8393-4a15-9244-acd3f03bfecd,f8d03e4c-8393-4a15-9244-acd3f03bfecd,needs_review,True,0.9707,3.5000,4,539,
Dave Baksh,24d0801b115f43688870f7d6924bcd97,78109727-f460-4779-9ecb-e284038b463a,78109727-f460-4779-9ecb-e284038b463a,needs_review,True,0.9707,3.5000,4,471,
Dave Ball,c7b4a985be46495981b5726209a54b4b,8e1b3b24-8a87-4a00-ab02-aad300d5895d,8e1b3b24-8a87-4a00-ab02-aad300d5895d,needs_review,True,0.9707,3.5000,9,1059,
Dave Barbarossa,526a5c60ab9943cda620bb3862e4d6af,d6afe681-89a7-4ece-82f2-7997ed4d8367,d6afe681-89a7-4ece-82f2-7997ed4d8367,needs_review,True,0.9707,3.5000,4,478,
Dave Barker,49e693e0446b4948b23c7c81b0f78dc1,8a30a754-a92e-48c8-85fe-882860468978,8a30a754-a92e-48c8-85fe-882860468978,needs_review,True,0.9707,3.5000,10,1025,
Dave Bartholomew,ad2814415eb445279ffeca2357c50780,9ad119e3-8a03-41a9-9ba8-fa754390b81d,9ad119e3-8a03-41a9-9ba8-fa754390b81d,needs_review,True,0.9707,3.5000,5,721,
Dave Bassett,191823b47f8e4829aa096403bedfa059,6ffcf2b3-430c-4e15-b87e-07fc5742a2f8,6ffcf2b3-430c-4e15-b87e-07fc5742a2f8,needs_review,True,0.9707,3.5000,5,603,
Dave Bayley,c67eabf6ccc8460c85427791a2332dee,52d9c6a4-40ef-42ef-86a1-8e07cb4e0de1,52d9c6a4-40ef-42ef-86a1-8e07cb4e0de1,needs_review,True,0.9707,3.5000,4,399,
Dave Baynton-Power,de1333e48e7149b189d3f9277b3ce474,82203559-23ea-4a38-9dcc-238613b93611,82203559-23ea-4a38-9dcc-238613b93611,needs_review,True,0.9707,3.5000,4,403,
Dave Bentley,1347a42dd7fe4a0abf9ae7fcff5a74eb,ca3645a8-95ef-48fc-bf74-af434968e36b,ca3645a8-95ef-48fc-bf74-af434968e36b,needs_review,True,0.8581,1.8000,6,641,
Dave Berry,a1c686d727c54ae4bd34d80f0ca3f6e0,aefe432a-ac2b-44d5-81e4-953c6c22233a,aefe432a-ac2b-44d5-81e4-953c6c22233a,needs_review,True,0.9707,3.5000,3,297,
Dave Beste,0777336745c8420ea12f2a8eecf8c814,bc3a2076-6c57-4648-8413-10afb811b305,bc3a2076-6c57-4648-8413-10afb811b305,needs_review,True,0.9707,3.5000,5,470,
